"Label (Grouping)","Congressional District 1 (116th Congress), Georgia!!Total!!Estimate","Congressional District 1 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 1 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Male!!Estimate","Congressional District 1 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 1 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Female!!Estimate","Congressional District 1 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 1 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 1 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Total!!Estimate","Congressional District 2 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 2 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Male!!Estimate","Congressional District 2 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 2 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Female!!Estimate","Congressional District 2 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 2 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 2 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Total!!Estimate","Congressional District 3 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 3 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Male!!Estimate","Congressional District 3 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 3 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Female!!Estimate","Congressional District 3 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 3 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 3 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Total!!Estimate","Congressional District 4 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 4 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Male!!Estimate","Congressional District 4 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 4 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Female!!Estimate","Congressional District 4 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 4 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 4 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Total!!Estimate","Congressional District 5 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 5 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Male!!Estimate","Congressional District 5 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 5 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Female!!Estimate","Congressional District 5 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 5 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 5 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Total!!Estimate","Congressional District 6 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 6 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Male!!Estimate","Congressional District 6 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 6 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Female!!Estimate","Congressional District 6 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 6 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 6 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Total!!Estimate","Congressional District 7 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 7 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Male!!Estimate","Congressional District 7 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 7 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Female!!Estimate","Congressional District 7 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 7 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 7 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Total!!Estimate","Congressional District 8 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 8 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Male!!Estimate","Congressional District 8 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 8 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Female!!Estimate","Congressional District 8 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 8 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 8 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Total!!Estimate","Congressional District 9 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 9 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Male!!Estimate","Congressional District 9 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 9 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Female!!Estimate","Congressional District 9 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 9 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 9 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Total!!Estimate","Congressional District 10 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 10 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Male!!Estimate","Congressional District 10 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 10 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Female!!Estimate","Congressional District 10 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 10 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 10 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Total!!Estimate","Congressional District 11 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 11 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Male!!Estimate","Congressional District 11 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 11 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Female!!Estimate","Congressional District 11 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 11 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 11 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Total!!Estimate","Congressional District 12 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 12 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Male!!Estimate","Congressional District 12 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 12 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Female!!Estimate","Congressional District 12 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 12 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 12 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Total!!Estimate","Congressional District 13 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 13 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Male!!Estimate","Congressional District 13 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 13 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Female!!Estimate","Congressional District 13 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 13 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 13 (116th Congress), Georgia!!Percent Female!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Total!!Estimate","Congressional District 14 (116th Congress), Georgia!!Total!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Percent!!Estimate","Congressional District 14 (116th Congress), Georgia!!Percent!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Male!!Estimate","Congressional District 14 (116th Congress), Georgia!!Male!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Percent Male!!Estimate","Congressional District 14 (116th Congress), Georgia!!Percent Male!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Female!!Estimate","Congressional District 14 (116th Congress), Georgia!!Female!!Margin of Error","Congressional District 14 (116th Congress), Georgia!!Percent Female!!Estimate","Congressional District 14 (116th Congress), Georgia!!Percent Female!!Margin of Error"
"Total population","765,267","±5,446","(X)","(X)","374,810","±4,688","(X)","(X)","390,457","±4,126","(X)","(X)","672,932","±9,352","(X)","(X)","327,609","±5,901","(X)","(X)","345,323","±6,132","(X)","(X)","773,330","±11,844","(X)","(X)","375,930","±6,921","(X)","(X)","397,400","±7,057","(X)","(X)","775,516","±18,611","(X)","(X)","364,690","±11,616","(X)","(X)","410,826","±10,598","(X)","(X)","789,610","±15,848","(X)","(X)","383,681","±9,945","(X)","(X)","405,929","±12,245","(X)","(X)","760,368","±11,094","(X)","(X)","372,069","±9,223","(X)","(X)","388,299","±6,989","(X)","(X)","856,376","±16,359","(X)","(X)","420,570","±9,348","(X)","(X)","435,806","±8,896","(X)","(X)","717,457","±6,750","(X)","(X)","352,234","±4,887","(X)","(X)","365,223","±5,289","(X)","(X)","805,448","±8,525","(X)","(X)","397,485","±5,383","(X)","(X)","407,963","±5,688","(X)","(X)","800,510","±15,738","(X)","(X)","396,600","±9,921","(X)","(X)","403,910","±8,583","(X)","(X)","807,381","±11,714","(X)","(X)","391,706","±7,386","(X)","(X)","415,675","±8,295","(X)","(X)","742,856","±6,785","(X)","(X)","375,359","±4,743","(X)","(X)","367,497","±4,854","(X)","(X)","795,514","±15,475","(X)","(X)","374,555","±10,184","(X)","(X)","420,959","±10,205","(X)","(X)","737,001","±3,940","(X)","(X)","362,846","±3,778","(X)","(X)","374,155","±3,664","(X)","(X)"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Under 5 years","48,320","±2,623","6.3%","±0.3","24,679","±2,529","6.6%","±0.7","23,641","±2,110","6.1%","±0.5","41,250","±2,892","6.1%","±0.4","21,110","±2,021","6.4%","±0.6","20,140","±2,333","5.8%","±0.6","41,986","±2,459","5.4%","±0.3","21,657","±1,876","5.8%","±0.5","20,329","±2,070","5.1%","±0.5","46,034","±3,773","5.9%","±0.5","22,044","±3,126","6.0%","±0.8","23,990","±3,056","5.8%","±0.7","41,623","±4,633","5.3%","±0.6","20,828","±3,006","5.4%","±0.8","20,795","±3,161","5.1%","±0.8","46,589","±4,668","6.1%","±0.6","21,650","±2,825","5.8%","±0.7","24,939","±3,092","6.4%","±0.8","48,462","±3,139","5.7%","±0.3","24,313","±2,270","5.8%","±0.5","24,149","±2,075","5.5%","±0.5","46,408","±2,509","6.5%","±0.3","25,047","±2,414","7.1%","±0.7","21,361","±1,770","5.8%","±0.5","43,549","±2,044","5.4%","±0.3","22,133","±1,578","5.6%","±0.4","21,416","±1,394","5.2%","±0.3","44,206","±3,811","5.5%","±0.5","24,250","±3,008","6.1%","±0.7","19,956","±2,442","4.9%","±0.6","42,119","±2,459","5.2%","±0.3","21,353","±1,840","5.5%","±0.5","20,766","±1,722","5.0%","±0.4","41,212","±2,810","5.5%","±0.4","23,405","±2,464","6.2%","±0.6","17,807","±1,626","4.8%","±0.4","52,323","±4,555","6.6%","±0.6","29,587","±3,137","7.9%","±0.8","22,736","±2,677","5.4%","±0.6","41,888","±1,855","5.7%","±0.2","22,185","±1,752","6.1%","±0.5","19,703","±1,858","5.3%","±0.5"
"        5 to 9 years","50,658","±3,936","6.6%","±0.5","24,490","±2,684","6.5%","±0.7","26,168","±3,091","6.7%","±0.8","40,635","±3,832","6.0%","±0.6","21,140","±2,646","6.5%","±0.8","19,495","±2,775","5.6%","±0.8","45,907","±3,584","5.9%","±0.5","21,823","±2,543","5.8%","±0.7","24,084","±2,672","6.1%","±0.7","46,887","±5,716","6.0%","±0.7","21,511","±3,391","5.9%","±0.9","25,376","±4,163","6.2%","±1.0","45,579","±6,230","5.8%","±0.7","21,924","±3,331","5.7%","±0.9","23,655","±4,966","5.8%","±1.1","48,569","±3,681","6.4%","±0.5","26,509","±2,806","7.1%","±0.7","22,060","±2,815","5.7%","±0.7","54,382","±4,666","6.4%","±0.5","28,670","±3,354","6.8%","±0.8","25,712","±3,227","5.9%","±0.7","43,023","±3,907","6.0%","±0.5","22,109","±2,554","6.3%","±0.7","20,914","±2,850","5.7%","±0.7","45,817","±3,587","5.7%","±0.4","23,885","±2,483","6.0%","±0.6","21,932","±2,219","5.4%","±0.5","53,320","±4,523","6.7%","±0.5","28,038","±3,544","7.1%","±0.8","25,282","±3,137","6.3%","±0.8","46,415","±4,055","5.7%","±0.5","22,627","±2,795","5.8%","±0.7","23,788","±2,881","5.7%","±0.7","49,075","±3,732","6.6%","±0.5","28,619","±3,380","7.6%","±0.9","20,456","±2,391","5.6%","±0.6","51,274","±4,953","6.4%","±0.6","25,902","±3,852","6.9%","±1.0","25,372","±3,683","6.0%","±0.9","43,541","±3,116","5.9%","±0.4","19,542","±2,175","5.4%","±0.6","23,999","±2,674","6.4%","±0.7"
"        10 to 14 years","50,093","±4,135","6.5%","±0.5","26,058","±2,949","7.0%","±0.8","24,035","±2,805","6.2%","±0.7","47,477","±3,629","7.1%","±0.5","22,981","±2,518","7.0%","±0.7","24,496","±2,905","7.1%","±0.8","56,713","±5,150","7.3%","±0.6","32,167","±3,550","8.6%","±0.9","24,546","±2,961","6.2%","±0.7","56,105","±5,455","7.2%","±0.6","28,990","±4,012","7.9%","±1.0","27,115","±3,684","6.6%","±0.8","46,408","±6,154","5.9%","±0.7","23,360","±3,718","6.1%","±1.0","23,048","±4,345","5.7%","±1.0","51,383","±3,967","6.8%","±0.5","25,987","±2,775","7.0%","±0.7","25,396","±2,675","6.5%","±0.7","72,677","±4,838","8.5%","±0.5","37,002","±3,159","8.8%","±0.7","35,675","±3,480","8.2%","±0.8","52,988","±4,019","7.4%","±0.6","26,775","±3,199","7.6%","±0.9","26,213","±2,363","7.2%","±0.6","57,591","±3,863","7.2%","±0.5","28,276","±2,590","7.1%","±0.6","29,315","±2,810","7.2%","±0.7","55,104","±4,986","6.9%","±0.6","28,878","±3,956","7.3%","±1.0","26,226","±3,347","6.5%","±0.8","53,624","±4,190","6.6%","±0.5","27,867","±3,342","7.1%","±0.8","25,757","±3,227","6.2%","±0.7","54,391","±4,572","7.3%","±0.6","26,831","±3,225","7.1%","±0.9","27,560","±3,155","7.5%","±0.8","63,200","±5,662","7.9%","±0.7","32,548","±3,312","8.7%","±0.9","30,652","±4,361","7.3%","±1.0","59,351","±3,204","8.1%","±0.4","33,606","±2,628","9.3%","±0.7","25,745","±2,793","6.9%","±0.7"
"        15 to 19 years","54,923","±3,853","7.2%","±0.5","28,193","±2,621","7.5%","±0.7","26,730","±3,105","6.8%","±0.8","49,400","±3,136","7.3%","±0.4","26,645","±2,636","8.1%","±0.8","22,755","±2,124","6.6%","±0.6","55,442","±3,924","7.2%","±0.5","28,350","±3,029","7.5%","±0.8","27,092","±2,710","6.8%","±0.7","52,651","±4,481","6.8%","±0.5","25,908","±2,752","7.1%","±0.7","26,743","±3,681","6.5%","±0.9","50,368","±5,326","6.4%","±0.6","24,260","±3,308","6.3%","±0.8","26,108","±3,530","6.4%","±0.8","51,814","±4,480","6.8%","±0.6","25,795","±2,817","6.9%","±0.8","26,019","±2,905","6.7%","±0.7","66,252","±3,113","7.7%","±0.4","35,343","±2,039","8.4%","±0.4","30,909","±2,481","7.1%","±0.6","48,493","±3,957","6.8%","±0.6","27,902","±3,528","7.9%","±1.0","20,591","±3,014","5.6%","±0.8","55,962","±3,528","6.9%","±0.4","28,134","±1,944","7.1%","±0.5","27,828","±2,847","6.8%","±0.7","62,919","±5,334","7.9%","±0.6","28,828","±3,218","7.3%","±0.8","34,091","±3,928","8.4%","±0.9","59,292","±3,443","7.3%","±0.4","27,346","±2,380","7.0%","±0.6","31,946","±2,899","7.7%","±0.7","54,670","±4,185","7.4%","±0.6","30,531","±2,959","8.1%","±0.8","24,139","±2,737","6.6%","±0.7","52,700","±4,793","6.6%","±0.6","29,329","±3,514","7.8%","±0.9","23,371","±3,258","5.6%","±0.7","56,444","±3,650","7.7%","±0.5","26,624","±2,704","7.3%","±0.7","29,820","±3,007","8.0%","±0.8"
"        20 to 24 years","50,893","±3,181","6.7%","±0.4","25,920","±2,458","6.9%","±0.7","24,973","±2,135","6.4%","±0.5","45,965","±2,945","6.8%","±0.4","23,314","±2,055","7.1%","±0.6","22,651","±2,099","6.6%","±0.6","51,600","±3,672","6.7%","±0.5","27,346","±2,580","7.3%","±0.7","24,254","±2,473","6.1%","±0.6","48,967","±4,312","6.3%","±0.6","24,990","±2,996","6.9%","±0.8","23,977","±2,879","5.8%","±0.7","63,877","±4,688","8.1%","±0.6","30,245","±3,111","7.9%","±0.8","33,632","±3,429","8.3%","±0.8","35,729","±3,878","4.7%","±0.5","17,637","±2,507","4.7%","±0.7","18,092","±3,027","4.7%","±0.8","55,799","±3,253","6.5%","±0.4","26,647","±2,463","6.3%","±0.6","29,152","±2,116","6.7%","±0.5","54,221","±4,438","7.6%","±0.6","27,057","±2,851","7.7%","±0.8","27,164","±2,684","7.4%","±0.7","46,343","±3,101","5.8%","±0.4","22,324","±1,842","5.6%","±0.5","24,019","±2,385","5.9%","±0.6","63,752","±4,401","8.0%","±0.5","38,062","±3,140","9.6%","±0.8","25,690","±3,839","6.4%","±0.9","55,394","±4,930","6.9%","±0.6","28,541","±2,760","7.3%","±0.7","26,853","±3,206","6.5%","±0.7","61,525","±3,795","8.3%","±0.5","33,819","±2,818","9.0%","±0.8","27,706","±2,676","7.5%","±0.7","52,284","±4,583","6.6%","±0.6","24,419","±2,812","6.5%","±0.7","27,865","±3,202","6.6%","±0.7","39,460","±3,421","5.4%","±0.5","21,205","±2,234","5.8%","±0.6","18,255","±2,151","4.9%","±0.6"
